timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
812524;6.0;0.0;2036.0;3.0;1.0;0.0
812527;4.0;6.0;2043.0;-1.0;2.0;0.0
812531;-5.0;-2.0;2053.0;0.0;-2.0;-6.0
812534;10.0;4.0;2056.0;-1.0;1.0;-3.0
812538;-8.0;6.0;2052.0;-4.0;1.0;-1.0
812541;7.0;-6.0;2049.0;-3.0;-2.0;1.0
812545;12.0;-2.0;2054.0;-4.0;1.0;-8.0
812548;-2.0;6.0;2037.0;1.0;2.0;0.0
812552;-8.0;-7.0;2053.0;1.0;-1.0;-3.0
812555;8.0;-5.0;2051.0;-2.0;0.0;0.0
812559;-3.0;-4.0;2041.0;-6.0;1.0;-1.0
812562;-1.0;3.0;2036.0;0.0;1.0;-3.0
812566;9.0;1.0;2046.0;2.0;2.0;3.0
812569;7.0;1.0;2049.0;3.0;1.0;-1.0
812573;-4.0;6.0;2054.0;0.0;-1.0;-8.0
812576;3.0;1.0;2042.0;-3.0;-2.0;-6.0
812580;-10.0;3.0;2043.0;0.0;1.0;-1.0
812583;-1.0;0.0;2049.0;1.0;1.0;-3.0
812587;-4.0;-3.0;2044.0;-3.0;1.0;-1.0
812590;4.0;7.0;2058.0;-1.0;-1.0;-1.0
812594;1.0;0.0;2039.0;-3.0;3.0;-1.0
812597;-7.0;0.0;2048.0;3.0;1.0;-1.0
812601;0.0;-5.0;2047.0;-2.0;5.0;0.0
812604;9.0;2.0;2047.0;-2.0;2.0;-3.0
812608;-11.0;2.0;2050.0;-2.0;2.0;1.0
812611;-19.0;-3.0;2033.0;-2.0;0.0;2.0
812615;8.0;-4.0;2042.0;0.0;2.0;-3.0
812618;-3.0;-3.0;2049.0;-3.0;1.0;-4.0
812622;12.0;7.0;2040.0;-3.0;-1.0;1.0
812625;3.0;7.0;2052.0;-2.0;1.0;-2.0
812629;-1.0;8.0;2041.0;-3.0;-1.0;-2.0
812632;-6.0;3.0;2044.0;-1.0;1.0;-1.0
812636;3.0;2.0;2052.0;0.0;0.0;-4.0
812639;-10.0;-3.0;2050.0;-1.0;-3.0;-3.0
812643;-5.0;15.0;2048.0;-4.0;2.0;-5.0
812646;7.0;-5.0;2036.0;1.0;-3.0;5.0
812650;-1.0;-2.0;2042.0;-1.0;-2.0;-1.0
812653;6.0;-1.0;2044.0;-1.0;1.0;-3.0
812657;4.0;-4.0;2037.0;-2.0;-1.0;-4.0
812660;-8.0;-1.0;2037.0;2.0;4.0;-3.0
812664;9.0;-3.0;2049.0;2.0;2.0;-1.0
812667;-9.0;18.0;2040.0;1.0;1.0;-3.0
812671;-3.0;-11.0;2039.0;-1.0;2.0;1.0
812674;2.0;2.0;2051.0;-4.0;2.0;-3.0
812678;-1.0;3.0;2049.0;-3.0;-1.0;-1.0
812681;-4.0;4.0;2044.0;-3.0;3.0;-4.0
812685;-2.0;11.0;2044.0;-2.0;0.0;0.0
812688;6.0;9.0;2041.0;-4.0;0.0;-7.0
812692;-1.0;0.0;2044.0;-4.0;1.0;-1.0
812695;-1.0;-6.0;2039.0;-1.0;2.0;-1.0
812699;16.0;-5.0;2041.0;-1.0;3.0;0.0
812702;-5.0;3.0;2043.0;2.0;2.0;-2.0
812706;-3.0;2.0;2045.0;-2.0;-2.0;-1.0
812709;1.0;14.0;2043.0;-5.0;3.0;-4.0
812713;2.0;-2.0;2048.0;-3.0;2.0;0.0
812716;5.0;-6.0;2059.0;-1.0;3.0;0.0
812720;-9.0;-7.0;2048.0;-2.0;4.0;-3.0
812723;-4.0;6.0;2041.0;-2.0;0.0;6.0
812727;6.0;0.0;2045.0;0.0;1.0;-1.0
812730;10.0;14.0;2040.0;-1.0;2.0;-6.0
812734;0.0;12.0;2051.0;5.0;0.0;1.0
812737;12.0;-16.0;2038.0;-2.0;1.0;0.0
812741;2.0;-9.0;2053.0;-1.0;1.0;-2.0
812744;-1.0;13.0;2049.0;-4.0;2.0;0.0
812748;0.0;1.0;2056.0;-3.0;5.0;1.0
812751;1.0;2.0;2037.0;0.0;1.0;-2.0
812755;3.0;1.0;2044.0;1.0;3.0;-4.0
812758;-4.0;2.0;2041.0;0.0;-1.0;0.0
812762;0.0;0.0;2048.0;-4.0;-1.0;-3.0
812765;2.0;13.0;2042.0;1.0;-1.0;-4.0
812769;11.0;17.0;2051.0;-2.0;0.0;-4.0
812772;9.0;5.0;2055.0;2.0;2.0;2.0
812776;-13.0;7.0;2038.0;0.0;0.0;-1.0
812779;6.0;0.0;2046.0;0.0;3.0;2.0
812783;-7.0;13.0;2051.0;2.0;0.0;-4.0
812786;-2.0;2.0;2050.0;-3.0;-2.0;-3.0
812790;8.0;-7.0;2040.0;-3.0;2.0;-3.0
812793;-8.0;6.0;2047.0;-4.0;0.0;0.0
812797;9.0;4.0;2040.0;3.0;0.0;0.0
812800;0.0;-1.0;2038.0;-2.0;-1.0;1.0
812804;-6.0;9.0;2038.0;0.0;1.0;-3.0
812807;0.0;4.0;2048.0;-2.0;2.0;-4.0
812811;0.0;12.0;2044.0;1.0;2.0;-3.0
812814;8.0;-1.0;2033.0;-1.0;2.0;-2.0
812818;-11.0;0.0;2042.0;-1.0;-2.0;-2.0
812821;3.0;9.0;2040.0;0.0;5.0;-1.0
812825;4.0;4.0;2051.0;2.0;3.0;0.0
812828;6.0;12.0;2050.0;-2.0;-1.0;1.0
812832;-9.0;9.0;2053.0;0.0;-1.0;-1.0
812835;1.0;8.0;2045.0;-1.0;-2.0;-1.0
812839;4.0;8.0;2038.0;2.0;-1.0;-6.0
812842;6.0;10.0;2037.0;0.0;5.0;-1.0
812846;-7.0;2.0;2043.0;-1.0;0.0;4.0
812849;-10.0;-3.0;2050.0;1.0;4.0;-5.0
812853;-13.0;4.0;2043.0;2.0;-1.0;-1.0
812856;-3.0;7.0;2050.0;-1.0;3.0;4.0
812860;-2.0;3.0;2053.0;-1.0;-2.0;-1.0
812863;-4.0;-4.0;2047.0;0.0;2.0;-2.0
