timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
865823;-1.0;-2.0;2044.0;-2.0;3.0;1.0
865827;-24.0;-2.0;2034.0;-6.0;-2.0;0.0
865830;-9.0;-14.0;2038.0;-7.0;1.0;1.0
865834;-12.0;-12.0;2042.0;-1.0;-1.0;-2.0
865837;-12.0;-1.0;2044.0;-5.0;-4.0;-2.0
865841;-7.0;-10.0;2046.0;-1.0;1.0;-5.0
865844;0.0;-3.0;2047.0;-2.0;-3.0;-3.0
865848;6.0;-4.0;2028.0;-4.0;-1.0;-7.0
865851;-7.0;5.0;2054.0;-6.0;-4.0;1.0
865855;-15.0;-2.0;2045.0;-5.0;1.0;0.0
865858;5.0;8.0;2043.0;-1.0;-3.0;-2.0
865862;6.0;4.0;2042.0;-4.0;-4.0;0.0
865865;-8.0;4.0;2037.0;0.0;-3.0;0.0
865869;-1.0;6.0;2058.0;1.0;2.0;-1.0
865872;8.0;-15.0;2043.0;2.0;-2.0;0.0
865876;-4.0;1.0;2042.0;5.0;4.0;0.0
865879;-10.0;8.0;2045.0;3.0;4.0;-2.0
865883;24.0;-6.0;2049.0;0.0;0.0;-3.0
865886;1.0;10.0;2042.0;2.0;-4.0;-3.0
865890;4.0;11.0;2048.0;-1.0;-1.0;-1.0
865893;6.0;6.0;2048.0;0.0;-1.0;-6.0
865897;-1.0;1.0;2045.0;-4.0;-1.0;2.0
865900;2.0;8.0;2040.0;-7.0;-4.0;0.0
865904;5.0;0.0;2039.0;-6.0;-4.0;-1.0
865907;-9.0;1.0;2049.0;-8.0;3.0;-6.0
865911;4.0;11.0;2044.0;-5.0;1.0;-1.0
865914;-4.0;-7.0;2035.0;-5.0;-3.0;0.0
865918;-1.0;6.0;2058.0;-5.0;2.0;-3.0
865921;4.0;2.0;2048.0;-4.0;-1.0;-4.0
865925;9.0;2.0;2046.0;-1.0;0.0;-4.0
865928;6.0;-6.0;2049.0;-3.0;1.0;-1.0
865932;0.0;3.0;2043.0;-2.0;-2.0;-3.0
865935;-4.0;-9.0;2042.0;-3.0;0.0;1.0
865939;9.0;4.0;2044.0;-3.0;-2.0;-2.0
865942;-9.0;-2.0;2047.0;-8.0;2.0;-4.0
865946;-6.0;8.0;2043.0;-4.0;-1.0;-2.0
865949;-7.0;2.0;2042.0;-2.0;1.0;-2.0
865953;-14.0;-3.0;2043.0;-2.0;-5.0;-4.0
865956;4.0;10.0;2045.0;-7.0;-2.0;-4.0
865960;-7.0;0.0;2047.0;-6.0;-3.0;0.0
865963;-1.0;-2.0;2056.0;-3.0;-2.0;-2.0
865967;13.0;3.0;2044.0;-4.0;1.0;-2.0
865970;-6.0;0.0;2031.0;-4.0;0.0;-2.0
865974;-1.0;-1.0;2053.0;-11.0;2.0;-1.0
865977;8.0;6.0;2062.0;-8.0;-3.0;-4.0
865981;3.0;-1.0;2044.0;-7.0;-5.0;-2.0
865984;-11.0;7.0;2045.0;-5.0;-2.0;-2.0
865988;2.0;-1.0;2054.0;-5.0;-4.0;0.0
865991;-5.0;2.0;2049.0;-8.0;-1.0;-1.0
865995;5.0;8.0;2055.0;-2.0;-3.0;0.0
865998;6.0;-5.0;2048.0;-1.0;-3.0;-1.0
866002;1.0;-4.0;2045.0;-5.0;-2.0;-1.0
866005;-3.0;1.0;2044.0;-1.0;3.0;0.0
866009;8.0;-3.0;2046.0;-4.0;0.0;-3.0
866012;-3.0;-10.0;2045.0;0.0;-4.0;-2.0
866016;1.0;0.0;2051.0;-2.0;-4.0;-3.0
866019;7.0;1.0;2047.0;-3.0;-2.0;-4.0
866023;0.0;-4.0;2042.0;-6.0;-6.0;-2.0
866026;9.0;1.0;2048.0;-4.0;-2.0;-1.0
866030;6.0;5.0;2043.0;-7.0;-3.0;-4.0
866033;12.0;2.0;2058.0;-4.0;2.0;1.0
866037;5.0;0.0;2036.0;0.0;0.0;-4.0
866040;7.0;-1.0;2043.0;-1.0;2.0;-3.0
866044;8.0;4.0;2061.0;1.0;-1.0;-3.0
866047;4.0;3.0;2041.0;-1.0;0.0;-1.0
866051;2.0;-4.0;2057.0;-2.0;4.0;-5.0
866054;11.0;2.0;2042.0;-2.0;0.0;0.0
866058;2.0;6.0;2047.0;0.0;1.0;-2.0
866061;4.0;-3.0;2044.0;-4.0;-2.0;0.0
866065;10.0;8.0;2049.0;-2.0;-1.0;-3.0
866068;11.0;-5.0;2043.0;-3.0;-2.0;-1.0
866072;2.0;1.0;2050.0;0.0;-2.0;-7.0
866075;9.0;4.0;2042.0;-3.0;-1.0;-3.0
866079;1.0;-8.0;2048.0;1.0;-3.0;1.0
866082;11.0;-14.0;2053.0;-3.0;-3.0;1.0
866086;1.0;-7.0;2032.0;-2.0;-2.0;0.0
866089;0.0;-12.0;2047.0;0.0;-4.0;-1.0
866093;2.0;-6.0;2051.0;-1.0;2.0;1.0
866096;6.0;-5.0;2052.0;-4.0;2.0;-10.0
866100;6.0;-10.0;2051.0;-1.0;0.0;0.0
866103;5.0;-6.0;2052.0;-3.0;0.0;-3.0
866107;-3.0;-6.0;2028.0;-5.0;1.0;-3.0
866110;4.0;-4.0;2051.0;-3.0;1.0;-5.0
866114;3.0;-1.0;2043.0;-5.0;2.0;-1.0
866117;2.0;11.0;2043.0;-6.0;2.0;-1.0
866121;11.0;-9.0;2041.0;-3.0;-4.0;0.0
866124;-3.0;11.0;2052.0;-2.0;2.0;-4.0
866128;-3.0;4.0;2045.0;-1.0;-1.0;1.0
866131;2.0;-3.0;2047.0;-4.0;6.0;2.0
866135;-4.0;-5.0;2037.0;-3.0;6.0;-2.0
866138;4.0;-5.0;2051.0;-4.0;1.0;0.0
866142;-2.0;-3.0;2046.0;3.0;3.0;-2.0
866145;-7.0;2.0;2038.0;1.0;-2.0;-2.0
866149;3.0;-8.0;2045.0;-3.0;0.0;-2.0
866152;-9.0;-9.0;2045.0;-2.0;2.0;0.0
866156;1.0;-7.0;2041.0;1.0;1.0;-4.0
866159;6.0;-2.0;2036.0;-2.0;0.0;3.0
866163;2.0;2.0;2038.0;2.0;1.0;1.0
866166;12.0;-3.0;2051.0;0.0;0.0;-1.0
866170;2.0;-7.0;2049.0;-3.0;-3.0;-2.0
866173;2.0;-3.0;2046.0;0.0;0.0;-3.0
866177;3.0;-4.0;2047.0;0.0;0.0;-1.0
866180;-6.0;9.0;2045.0;-1.0;0.0;-3.0
866184;-1.0;-7.0;2041.0;1.0;-1.0;-5.0
866187;7.0;4.0;2035.0;-2.0;5.0;-4.0
866191;4.0;-6.0;2041.0;-2.0;3.0;-2.0
866194;4.0;-4.0;2047.0;-3.0;-1.0;-3.0
866198;-9.0;0.0;2038.0;-5.0;0.0;0.0
866201;3.0;6.0;2050.0;1.0;0.0;-2.0
866205;3.0;-8.0;2044.0;1.0;-1.0;-2.0
866208;0.0;-1.0;2045.0;1.0;1.0;0.0
866212;-3.0;-6.0;2046.0;2.0;-1.0;-1.0
866215;-1.0;-6.0;2044.0;0.0;-1.0;-1.0
866219;-13.0;-6.0;2043.0;-3.0;3.0;-1.0
866222;12.0;0.0;2043.0;1.0;1.0;1.0
866226;-1.0;-9.0;2052.0;1.0;4.0;-5.0
866229;-3.0;15.0;2050.0;2.0;-2.0;-1.0
866233;9.0;-12.0;2038.0;2.0;1.0;-3.0
866236;-2.0;4.0;2046.0;-3.0;3.0;2.0
866240;12.0;-6.0;2039.0;-2.0;5.0;2.0
866243;1.0;-4.0;2050.0;0.0;-3.0;-5.0
866247;-4.0;11.0;2054.0;2.0;2.0;2.0
866250;11.0;-6.0;2042.0;2.0;1.0;-2.0
866254;0.0;1.0;2053.0;0.0;0.0;-5.0
866257;-5.0;-8.0;2043.0;0.0;1.0;1.0
866261;8.0;1.0;2059.0;-1.0;1.0;-3.0
866264;7.0;-1.0;2052.0;3.0;1.0;-2.0
866268;1.0;-4.0;2057.0;2.0;2.0;-8.0
866271;11.0;-2.0;2047.0;-3.0;2.0;-3.0
866275;1.0;-8.0;2049.0;0.0;3.0;-3.0
866278;5.0;1.0;2044.0;1.0;1.0;-2.0
866282;5.0;1.0;2044.0;1.0;0.0;-3.0
866285;-1.0;5.0;2045.0;-2.0;3.0;-2.0
866289;5.0;-1.0;2049.0;2.0;3.0;-3.0
866292;3.0;-12.0;2050.0;-2.0;1.0;-3.0
866296;11.0;12.0;2038.0;-3.0;2.0;-5.0
866299;1.0;-7.0;2042.0;1.0;1.0;-6.0
866303;-7.0;7.0;2056.0;1.0;5.0;-2.0
866306;4.0;-5.0;2051.0;3.0;6.0;-1.0
866310;4.0;8.0;2043.0;10.0;1.0;-1.0
866313;5.0;-4.0;2033.0;7.0;8.0;-1.0
866317;11.0;-2.0;2042.0;15.0;6.0;-1.0
866320;11.0;-10.0;2062.0;9.0;7.0;-2.0
866324;0.0;-4.0;2045.0;15.0;8.0;-3.0
866327;-4.0;-4.0;2054.0;13.0;7.0;0.0
866331;2.0;1.0;2048.0;20.0;10.0;-4.0
866334;-8.0;-6.0;2052.0;22.0;13.0;-3.0
866338;-3.0;-11.0;2039.0;21.0;10.0;-4.0
866341;-2.0;8.0;2034.0;17.0;8.0;-6.0
866345;4.0;1.0;2047.0;15.0;8.0;-4.0
866348;4.0;-1.0;2042.0;15.0;8.0;0.0
866352;6.0;-6.0;2033.0;16.0;8.0;-4.0
866355;-4.0;3.0;2039.0;12.0;3.0;-1.0
866359;1.0;-2.0;2050.0;8.0;4.0;0.0
866362;1.0;9.0;2048.0;8.0;5.0;-2.0
866366;-9.0;3.0;2046.0;5.0;4.0;0.0
866369;2.0;-4.0;2042.0;4.0;4.0;0.0
866373;-1.0;-3.0;2037.0;1.0;1.0;-2.0
866376;5.0;0.0;2035.0;3.0;6.0;-3.0
866380;8.0;0.0;2048.0;1.0;3.0;0.0
866383;3.0;0.0;2051.0;2.0;0.0;-2.0
866387;0.0;-1.0;2039.0;1.0;-1.0;0.0
866390;-5.0;3.0;2048.0;5.0;-1.0;0.0
866394;-1.0;0.0;2045.0;3.0;2.0;0.0
866397;-8.0;9.0;2048.0;5.0;3.0;-3.0
866401;4.0;2.0;2052.0;3.0;1.0;-3.0
866404;0.0;-7.0;2038.0;7.0;1.0;-5.0
866408;-7.0;5.0;2042.0;10.0;4.0;-3.0
866411;7.0;-9.0;2057.0;1.0;4.0;-5.0
866415;3.0;6.0;2054.0;9.0;0.0;-2.0
866418;11.0;-4.0;2045.0;12.0;1.0;-1.0
866422;5.0;-3.0;2046.0;10.0;6.0;-4.0
866425;11.0;-8.0;2041.0;16.0;5.0;-4.0
866429;2.0;-1.0;2058.0;14.0;4.0;-4.0
866432;13.0;31.0;2049.0;10.0;7.0;3.0
866436;-19.0;-39.0;2034.0;-8.0;1.0;-3.0
866439;-6.0;-9.0;2064.0;9.0;1.0;0.0
866443;-12.0;3.0;2045.0;21.0;5.0;2.0
866446;3.0;4.0;2034.0;19.0;6.0;-6.0
866450;5.0;17.0;2045.0;10.0;4.0;-2.0
866453;-2.0;21.0;2046.0;2.0;3.0;-3.0
866457;11.0;17.0;2046.0;1.0;3.0;-2.0
866460;-2.0;13.0;2045.0;-5.0;1.0;-1.0
866464;-16.0;9.0;2038.0;-13.0;2.0;-3.0
866467;1.0;5.0;2054.0;-10.0;-3.0;-6.0
866471;3.0;3.0;2058.0;-2.0;6.0;0.0
866474;-7.0;7.0;2047.0;-1.0;0.0;-2.0
866478;-1.0;1.0;2041.0;-4.0;0.0;-4.0
866481;11.0;0.0;2064.0;-2.0;-1.0;-3.0
866485;2.0;7.0;2049.0;-1.0;1.0;-5.0
866488;-3.0;8.0;2043.0;-1.0;1.0;-3.0
866492;14.0;-1.0;2044.0;1.0;0.0;-5.0
866495;3.0;3.0;2041.0;1.0;0.0;1.0
866499;-2.0;4.0;2050.0;-3.0;1.0;-1.0
866502;-5.0;6.0;2051.0;-2.0;0.0;-1.0
866506;4.0;-6.0;2044.0;-3.0;0.0;-1.0
866509;4.0;3.0;2038.0;0.0;2.0;-5.0
866856;-186.0;-48.0;2025.0;-19.0;-2.0;97.0
866859;-194.0;-4.0;2043.0;-22.0;0.0;113.0
866863;-231.0;-39.0;2038.0;-28.0;-4.0;136.0
866866;-198.0;-39.0;2048.0;-22.0;-2.0;152.0
866870;-160.0;-56.0;2043.0;-25.0;-5.0;170.0
866873;-92.0;-64.0;2040.0;-21.0;-4.0;183.0
866877;-61.0;-50.0;2045.0;-23.0;-3.0;189.0
866880;-29.0;-46.0;2044.0;-23.0;0.0;193.0
866884;-35.0;-47.0;2052.0;-27.0;-5.0;198.0
866887;-29.0;-20.0;2056.0;-20.0;-7.0;211.0
866891;-58.0;-11.0;2037.0;-20.0;-4.0;221.0
866894;-67.0;11.0;2054.0;-28.0;-6.0;234.0
866898;-66.0;31.0;2043.0;-29.0;-3.0;233.0
866901;-67.0;18.0;2043.0;-23.0;-2.0;239.0
866905;-211.0;77.0;1984.0;-17.0;7.0;244.0
866908;-200.0;3.0;2096.0;-31.0;-4.0;248.0
866912;-231.0;-3.0;2012.0;-23.0;-1.0;274.0
866915;-290.0;-7.0;2012.0;-22.0;4.0;303.0
866919;-324.0;0.0;2046.0;-9.0;0.0;325.0
866922;-353.0;22.0;2044.0;-1.0;6.0;348.0
866926;-351.0;28.0;2035.0;-7.0;5.0;362.0
866929;-301.0;65.0;2043.0;-4.0;9.0;372.0
866933;-263.0;98.0;2035.0;-7.0;2.0;357.0
